source,source_detail,subtech,heat_source,size,period,variable,reference_variable,value,uncertainty,unit,reference_value,reference_unit,comment
DEA-TIPIH-2026,"Sheet 2.a (High-temperature heat pump, up to 125°C, temp lift 65 K), Row 22 (Nominal investment)",heat-pump-125c,*,*,2025,CAPEX,Output Capacity|Heat,1.20,,MEUR_2024,1,MW,
DEA-TIPIH-2026,"Sheet 2.a (High-temperature heat pump, up to 125°C, temp lift 65 K), Row 25 (Fixed O&M costs)",heat-pump-125c,*,*,2025,OPEX Fixed,Output Capacity|Heat,2494,,EUR_2024/a,1,MW,
DEA-TIPIH-2026,"Sheet 2.a (High-temperature heat pump, up to 125°C, temp lift 65 K), Row 26 (Variable O&M costs)",heat-pump-125c,*,*,2025,OPEX Variable,Output|Heat,3.60,,EUR_2024,1,MWh,
DEA-TIPIH-2026,"Sheet 2.a (High-temperature heat pump, up to 125°C, temp lift 65 K), Row 12 (Technical lifetime)",heat-pump-125c,*,*,*,Lifetime,,20,,a,,,
DEA-TIPIH-2026,"Sheet 2.b (High-temperature heat pump, up to 150°C, temp lift 65 K), Row 7 (COP at nominal load)",heat-pump-150c,*,*,*,Output|Heat,Input|Electricity,2.75,,kWh,1,kWh,"COP at 65 K temperature lift; heat sink up to 150°C"
DEA-TIPIH-2026,"Sheet 2.b (High-temperature heat pump, up to 150°C, temp lift 65 K), Row 22 (Nominal investment)",heat-pump-150c,*,*,2025,CAPEX,Output Capacity|Heat,1.55,,MEUR_2024,1,MW,
DEA-TIPIH-2026,"Sheet 2.b (High-temperature heat pump, up to 150°C, temp lift 65 K), Row 25 (Fixed O&M costs)",heat-pump-150c,*,*,2025,OPEX Fixed,Output Capacity|Heat,2494,,EUR_2024/a,1,MW,
DEA-TIPIH-2026,"Sheet 2.b (High-temperature heat pump, up to 150°C, temp lift 65 K), Row 26 (Variable O&M costs)",heat-pump-150c,*,*,2025,OPEX Variable,Output|Heat,3.60,,EUR_2024,1,MWh,
DEA-TIPIH-2026,"Sheet 2.b (High-temperature heat pump, up to 150°C, temp lift 65 K), Row 12 (Technical lifetime)",heat-pump-150c,*,*,*,Lifetime,,20,,a,,,
Pieper-2018,"Table 2 (Flue gas, 0.5 MW)",*,flue-gas,0.5 MW,2018,CAPEX,Output Capacity|Heat,0.63,,MEUR_2018,1,MW,"Total investment cost; includes HP unit, heat source access, construction, electrical, and consulting; based on cost correlations fitted to 26+ Danish DH HP projects (2009–2017)"
Pieper-2018,"Table 2 (Flue gas, 1 MW)",*,flue-gas,1 MW,2018,CAPEX,Output Capacity|Heat,0.53,,MEUR_2018,1,MW,"Total investment cost; includes HP unit, heat source access, construction, electrical, and consulting; based on cost correlations fitted to 26+ Danish DH HP projects (2009–2017)"
Pieper-2018,"Table 2 (Flue gas, 4 MW)",*,flue-gas,4 MW,2018,CAPEX,Output Capacity|Heat,0.46,,MEUR_2018,1,MW,"Total investment cost; includes HP unit, heat source access, construction, electrical, and consulting; based on cost correlations fitted to 26+ Danish DH HP projects (2009–2017)"
Pieper-2018,"Table 2 (Flue gas, 10 MW)",*,flue-gas,10 MW,2018,CAPEX,Output Capacity|Heat,0.44,,MEUR_2018,1,MW,"Total investment cost; includes HP unit, heat source access, construction, electrical, and consulting; based on cost correlations fitted to 26+ Danish DH HP projects (2009–2017)"
Pieper-2018,"Table 2 (Sewage water, 0.5 MW)",*,sewage-water,0.5 MW,2018,CAPEX,Output Capacity|Heat,1.91,,MEUR_2018,1,MW,"Total investment cost; includes HP unit, heat source access, construction, electrical, and consulting; based on cost correlations fitted to 26+ Danish DH HP projects (2009–2017)"
Pieper-2018,"Table 2 (Sewage water, 1 MW)",*,sewage-water,1 MW,2018,CAPEX,Output Capacity|Heat,1.23,,MEUR_2018,1,MW,"Total investment cost; includes HP unit, heat source access, construction, electrical, and consulting; based on cost correlations fitted to 26+ Danish DH HP projects (2009–2017)"
Pieper-2018,"Table 2 (Sewage water, 4 MW)",*,sewage-water,4 MW,2018,CAPEX,Output Capacity|Heat,0.72,,MEUR_2018,1,MW,"Total investment cost; includes HP unit, heat source access, construction, electrical, and consulting; based on cost correlations fitted to 26+ Danish DH HP projects (2009–2017)"
Pieper-2018,"Table 2 (Sewage water, 10 MW)",*,sewage-water,10 MW,2018,CAPEX,Output Capacity|Heat,0.62,,MEUR_2018,1,MW,"Total investment cost; includes HP unit, heat source access, construction, electrical, and consulting; based on cost correlations fitted to 26+ Danish DH HP projects (2009–2017)"
Pieper-2018,"Table 2 (Excess heat, 0.5 MW)",*,excess-heat,0.5 MW,2018,CAPEX,Output Capacity|Heat,1.30,,MEUR_2018,1,MW,"Total investment cost; includes HP unit, heat source access, construction, electrical, and consulting; based on cost correlations fitted to 26+ Danish DH HP projects (2009–2017)"
Pieper-2018,"Table 2 (Excess heat, 1 MW)",*,excess-heat,1 MW,2018,CAPEX,Output Capacity|Heat,0.97,,MEUR_2018,1,MW,"Total investment cost; includes HP unit, heat source access, construction, electrical, and consulting; based on cost correlations fitted to 26+ Danish DH HP projects (2009–2017)"
Pieper-2018,"Table 2 (Excess heat, 4 MW)",*,excess-heat,4 MW,2018,CAPEX,Output Capacity|Heat,0.72,,MEUR_2018,1,MW,"Total investment cost; includes HP unit, heat source access, construction, electrical, and consulting; based on cost correlations fitted to 26+ Danish DH HP projects (2009–2017)"
Pieper-2018,"Table 2 (Excess heat, 10 MW)",*,excess-heat,10 MW,2018,CAPEX,Output Capacity|Heat,0.67,,MEUR_2018,1,MW,"Total investment cost; includes HP unit, heat source access, construction, electrical, and consulting; based on cost correlations fitted to 26+ Danish DH HP projects (2009–2017)"
Pieper-2018,"Table 2 (Groundwater, 0.5 MW)",*,groundwater,0.5 MW,2018,CAPEX,Output Capacity|Heat,1.72,,MEUR_2018,1,MW,"Total investment cost; includes HP unit, heat source access, construction, electrical, and consulting; based on cost correlations fitted to 26+ Danish DH HP projects (2009–2017)"
Pieper-2018,"Table 2 (Groundwater, 1 MW)",*,groundwater,1 MW,2018,CAPEX,Output Capacity|Heat,1.18,,MEUR_2018,1,MW,"Total investment cost; includes HP unit, heat source access, construction, electrical, and consulting; based on cost correlations fitted to 26+ Danish DH HP projects (2009–2017)"
Pieper-2018,"Table 2 (Groundwater, 4 MW)",*,groundwater,4 MW,2018,CAPEX,Output Capacity|Heat,0.77,,MEUR_2018,1,MW,"Total investment cost; includes HP unit, heat source access, construction, electrical, and consulting; based on cost correlations fitted to 26+ Danish DH HP projects (2009–2017)"
Pieper-2018,"Table 2 (Groundwater, 10 MW)",*,groundwater,10 MW,2018,CAPEX,Output Capacity|Heat,0.69,,MEUR_2018,1,MW,"Total investment cost; includes HP unit, heat source access, construction, electrical, and consulting; based on cost correlations fitted to 26+ Danish DH HP projects (2009–2017)"
Pieper-2018,"Table 2 (Air, 0.5 MW)",*,air,0.5 MW,2018,CAPEX,Output Capacity|Heat,1.12,,MEUR_2018,1,MW,"Total investment cost; includes HP unit, heat source access, construction, electrical, and consulting; based on cost correlations fitted to 26+ Danish DH HP projects (2009–2017)"
Pieper-2018,"Table 2 (Air, 1 MW)",*,air,1 MW,2018,CAPEX,Output Capacity|Heat,0.90,,MEUR_2018,1,MW,"Total investment cost; includes HP unit, heat source access, construction, electrical, and consulting; based on cost correlations fitted to 26+ Danish DH HP projects (2009–2017)"
Pieper-2018,"Table 2 (Air, 4 MW)",*,air,4 MW,2018,CAPEX,Output Capacity|Heat,0.73,,MEUR_2018,1,MW,"Total investment cost; includes HP unit, heat source access, construction, electrical, and consulting; based on cost correlations fitted to 26+ Danish DH HP projects (2009–2017)"
Pieper-2018,"Table 2 (Air, 10 MW)",*,air,10 MW,2018,CAPEX,Output Capacity|Heat,0.70,,MEUR_2018,1,MW,"Total investment cost; includes HP unit, heat source access, construction, electrical, and consulting; based on cost correlations fitted to 26+ Danish DH HP projects (2009–2017)"
